sbsconfig,target,field,sf_corr,W2_min,W2_max,dx0_n,dx0_p,dy0,dx_sig_n,dx_sig_p,dy_sig,atime0,atime_sig,min_ev,gcut
4,lh2,0,0.145681818181818,0.3,1.6,0.01914,0.01914,-0.03618,0.05911,0.05911,0.07244,50.3,3.5,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
4,lh2,30,0.145681818181818,0.3,1.6,-0.646099,-0.646099,-0.0245972,0.0738526,0.0738526,0.0706237,50.3,3.5,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
4,lh2,50,0.145681818181818,0.3,1.6,-1.09359,-1.09359,-0.0134396,0.0879841,0.0879841,0.0661816,50.3,3.5,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
4,ld2,0,0.145681818181818,0.3,1.6,0.007614,0.007614,0.04738,0.2137,0.2137,0.2858,50.3,3.5,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
4,ld2,30,0.145681818181818,0.3,1.6,-0.00632,-0.6449,-0.00831,0.2128,0.1806,0.2688,50.3,3.5,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
4,ld2,50,0.145681818181818,0.3,1.6,0.0129126,-1.08927,0.008,0.193991,0.182977,0.2808,50.3,3.5,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
7,lh2,85,0.097027027027027,0.3,1.6,-6.89E-01,-6.89E-01,-6.77E-03,4.73E-02,4.73E-02,4.26E-02,61.2,3.21,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
7,ld2,85,0.097027027027027,0.3,1.6,0.00768,-6.82E-01,3.57E-02,1.03E-01,1.03E-01,1.55E-01,61.2,3.21,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
11,lh2,0,0.126551724137931,0.3,1.6,0.0725261,0.0725261,-0.034999,6.29E-02,6.29E-02,0.111698,60.9,5.18,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
11,lh2,100,0.126551724137931,0.3,1.6,-6.71E-01,-6.71E-01,0.0150518,6.29E-02,6.29E-02,0.08328,60.9,5.18,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
11,ld2,0,0.126551724137931,0.3,1.6,0.0405545,0.0405545,-0.0119,0.187977,0.191482,2.04E-01,60.9,5.18,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
11,ld2,100,0.126551724137931,0.3,1.6,0.0728046,-6.73E-01,-0.0119,0.187977,0.191482,2.04E-01,60.9,5.18,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
14,lh2,0,0.136538461538462,0.3,1.6,0.0799085,0.0799085,-0.0351797,0.0777094,0.0777094,0.0817252,57.1,3.41,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
14,lh2,70,0.136538461538462,0.3,1.6,-7.75E-01,-7.75E-01,-0.0132459,0.0761898,0.0761898,0.0846373,57.1,3.41,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
14,ld2,70,0.136538461538462,0.3,1.6,0.078859,-7.75E-01,0.000633742,0.171009,0.161225,0.218423,57.1,3.41,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
8,lh2,0,0.142916666666667,0.3,1.6,1.67E-02,1.67E-02,-0.0509538,0.0915071,0.0915071,0.063006,47.6,3.61,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
8,lh2,50,0.142916666666667,0.3,1.6,-5.95E-01,-5.95E-01,-0.040997,0.121249,0.121249,0.0612909,47.6,3.61,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
8,lh2,70,0.142916666666667,0.3,1.6,-8.33E-01,-8.33E-01,-0.0381113,0.139637,0.139637,0.0670007,47.6,3.61,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
8,lh2,100,0.142916666666667,0.3,1.6,-1.19E+00,-1.19E+00,-0.0340306,0.158944,0.158944,0.0668056,47.6,3.61,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
8,ld2,0,0.142916666666667,0.3,1.6,1.67E-02,1.67E-02,0.0249345,0.163139,0.163139,0.276042,47.6,3.61,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
8,ld2,50,0.142916666666667,0.3,1.6,0.0876799,-5.97E-01,0.00465379,0.195652,0.186157,0.249543,47.6,3.61,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
8,ld2,70,0.142916666666667,0.3,1.6,0.0920908,-8.33E-01,-0.0140644,0.185411,0.202337,0.245229,47.6,3.61,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
8,ld2,100,0.142916666666667,0.3,1.6,0.0904357,-1.19E+00,-0.0281785,0.179498,0.212879,0.230278,47.6,3.61,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
9,lh2,70,0.142083333333333,0.3,1.6,-8.80E-01,-8.80E-01,-0.0206469,0.0824273,0.0824273,0.0808579,49.2,3.26,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
